name,angle,date,topped,first_go,attempts
Stars By The Pocketful,40,2026-06-01,yes,no,5
Chillig,40,2026-06-01,yes,no,3
don’t eat my cat,40,2026-06-01,yes,no,2
Swingin round,40,2026-06-01,yes,no,3
Hot chikin,40,2026-06-01,yes,yes,1
JW 1,40,2026-06-01,no,no,4
Dexboulders6c+,40,2026-06-01,yes,yes,1
WarmyUpppyyy,40,2026-06-01,no,no,5
Explosive Proprioception,40,2026-06-01,yes,yes,1
hold skipper 13,40,2026-06-01,yes,no,3
Jug City,40,2026-06-01,yes,no,5
cromp,40,2026-06-01,yes,no,5
buff bourguignon,40,2026-06-01,yes,no,3
Dyno sale 20%,40,2026-06-01,yes,no,2
Mild Salsa 🫑,40,2026-06-01,yes,yes,1
Rura Mae,40,2026-06-01,yes,yes,1
coincidence,40,2026-06-01,yes,no,2
Étoile 2,40,2026-06-01,yes,yes,1
Climb Fit V1-4 Challenge#18,40,2026-06-01,yes,no,5
waaaat,40,2026-06-01,yes,no,2
I Drive A Stick Caitlyn,40,2026-06-01,yes,no,4
bicep hematoma,40,2026-06-01,yes,yes,1
Smallie-Bigs,40,2026-06-01,yes,no,4
The Wash,40,2026-06-01,yes,no,3
Chuck Norris (Easy),40,2026-06-01,yes,no,2
Five Below,40,2026-06-01,yes,yes,1
David’s Wonderful World,40,2026-06-01,yes,yes,1
"Get Reel, Use The Heel",40,2026-06-01,yes,yes,1
My Chair Baby,40,2026-06-01,yes,yes,1
TRAINSPOTTER,40,2026-06-01,yes,no,5
Climbing is hard,40,2026-06-01,yes,no,4
Power of A Stache,40,2026-06-01,yes,no,5
Ugly Duckling,40,2026-06-01,yes,yes,1
boulderbar Quali 22,40,2026-06-01,yes,yes,1
Warm Up Options 01,40,2026-06-01,yes,no,4
Wind of a fart,40,2026-06-01,yes,yes,1
"Match Once, Cut Twice",40,2026-06-01,yes,yes,1
dyyyyy,40,2026-06-01,yes,yes,1
Brush Fire,40,2026-06-01,yes,yes,1
Less fun One Arm,40,2026-06-01,yes,yes,1
go loko 2,40,2026-06-01,no,no,3
"a bump, cross, and a jump",40,2026-06-01,no,no,5
feels v5,40,2026-06-01,yes,no,3
Funky Monkey Man,40,2026-06-01,yes,yes,1
Time for Left Shoulder,40,2026-06-01,yes,no,3
Learners Permit,40,2026-06-01,yes,no,2
dsd69,40,2026-06-01,yes,yes,1
Kilter Diplomacy,40,2026-06-01,yes,yes,1
Compression Choke,40,2026-06-01,yes,yes,1
Pony of Two Tricks,40,2026-06-01,yes,yes,1
shoulder lover,40,2026-06-01,yes,yes,1
pepe's grown a new pair,40,2026-06-01,yes,yes,1
how long is your spam 2,40,2026-06-01,yes,no,5
Sofie struggled part 2,40,2026-06-01,yes,no,4
Pinch-E,40,2026-06-01,yes,no,3
Lauren does a pogo,40,2026-06-01,yes,no,3
Revelation crux?,40,2026-06-01,yes,yes,1
contortions lover 🔀,40,2026-06-01,no,no,3
Winnie the Pooh’s Honeyjar,40,2026-06-01,yes,no,5
Just cut it!,40,2026-06-01,yes,yes,1
barely inconvenient,40,2026-06-01,yes,yes,1
practice problem,40,2026-06-01,yes,yes,1
Rocky finish,40,2026-06-01,yes,yes,1
Priest Bra,40,2026-06-01,no,no,5
Mulled Moosevinemüller,40,2026-06-01,yes,no,3
lean right now,40,2026-06-01,yes,no,3
on a mission,40,2026-06-01,yes,no,4
Griffenbahn  (Kids),40,2026-06-01,yes,yes,1
simple long powerful moves and tension,40,2026-06-01,yes,yes,1
€lay,40,2026-06-01,yes,yes,1
kilterBattle.pt _110 6b,40,2026-06-01,yes,yes,1
v1 in middle,40,2026-06-01,yes,yes,1
SPIDER-MAN,40,2026-06-01,yes,no,5
6A+,40,2026-06-01,yes,yes,1
Beginner Campus,40,2026-06-01,yes,yes,1
Contact Wombat SDS,40,2026-06-01,yes,yes,1
Broken Buttons,40,2026-06-01,yes,yes,1
just pogo,40,2026-06-01,yes,no,2
to the moon,40,2026-06-01,no,no,3
Tenzonian 🐝,40,2026-06-01,yes,no,4
Glizzy,40,2026-06-01,no,no,3
unicorn poop,40,2026-06-01,yes,yes,1
allez kek,40,2026-06-01,yes,no,2
soft like Eddie,40,2026-06-01,yes,yes,1
13th Century Metal,40,2026-06-01,yes,yes,1
Welcome To The Masquerade,40,2026-06-01,yes,yes,1
Floatin high,40,2026-06-01,yes,no,5
witness the shtness,40,2026-06-01,no,no,2
7 seas.,40,2026-06-01,yes,yes,1
Dificility 2,40,2026-06-01,yes,yes,1
Beenice,40,2026-06-01,yes,yes,1
baby power steps,40,2026-06-01,no,no,2
swangy mirror,40,2026-06-01,yes,yes,1
trust it,40,2026-06-01,yes,yes,1
First Disciple,40,2026-06-01,yes,yes,1
Clem mc flem,40,2026-06-01,yes,yes,1
Merry Campus,40,2026-06-01,yes,yes,1
Ted betty,40,2026-06-01,yes,yes,1
approachable pinches,40,2026-06-01,yes,yes,1
Watermelon Mummies,40,2026-06-01,yes,no,2
Cooler But Similar,40,2026-06-01,yes,no,4
TL Grippp,40,2026-06-01,yes,no,2
schedule,40,2026-06-01,yes,yes,1
Kill(t)er Whale 🐋,40,2026-06-01,no,no,2
Rest Time is the Best Time!!,40,2026-06-01,no,no,5
best served cold,40,2026-06-01,no,no,2
left foot only #02,40,2026-06-01,yes,yes,1
Jana’s monster truck,40,2026-06-01,yes,no,4
"FEED ME, SEYMOUR",40,2026-06-01,yes,yes,1
Guns N’ Roses 🌹 913,40,2026-06-01,yes,no,4
